"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36"
"HPLM-400_FC1",-6.19089865396529,-2.22195488400902,0.231770146669591,-3.23859092553259,0.309526400282996,-0.430598990704031,1.58776155606054,-0.916420017678457,0.471793598463269,-0.354281561115288,-1.21530336348936,1.27388786343751,-0.595854888276463,0.0929298011457044,0.75998150481333,0.989218289327447,-0.403770090710807,-0.375573951721059,-0.570156886314534,0.743806289875282,0.309474852438796,0.767713506877706,-0.0472865625542242,-0.3846153665136,-0.502685935191354,-0.154274340756113,0.103892248468784,0.340280219111868,0.155522329470752,0.445754717487974,-0.470095125843663,-0.255738004454974,-0.566201368898024,0.571933142586974,0.00283135095804372,2.39391839684799e-15
"HPLM-400_FC2",-6.14961509796259,-2.52782847853576,-0.219577123547817,-2.73353236098889,1.46294717999722,0.0122468631228447,0.793885491543129,-0.476528402733721,0.0718032420466707,-0.323889312344727,-0.53289999497806,0.0328156413457575,0.889040131962106,-1.16519736272976,-0.177652247186076,-0.555668926475285,-1.06219005655729,0.797910554188116,-0.0913941478850058,0.828212657957514,1.13815780673006,0.457065552802037,-0.35308635711603,0.326997957839068,-0.416523583575809,-0.590311287098925,-0.712796649188135,-0.0910020064227424,-0.54589685347683,-0.308735167675313,-0.2736753574499,0.188191297073246,0.0254957683351771,-0.630026656041065,-0.0580948824305105,2.75821032680312e-15
"HPLM-400_FC3",-6.20016702153306,-2.12830115995567,-0.583666475664561,-3.90507930903079,1.75229473251392,1.52961275906197,0.936520136579511,0.24965898011881,-1.38342560601535,0.245909776458093,-1.07896079205302,-0.806321792717496,-2.09154227027285,0.799332385281517,0.156828729275053,-2.09140988654875,-0.0367201857051058,1.30427818323907,0.569218515237251,-0.122309507969,-1.03660072225958,-0.151461308701311,-0.494805116064837,0.163370840607845,0.072523959687308,0.295369978502101,0.499911997033387,-0.504969342113311,0.231707361043318,0.0260106352913097,0.164481510398681,0.0843443679387648,-0.0130629246757419,0.0278884290035434,0.124471541567392,2.89004931097736e-15
"HPLM-6k_FC1",-6.16061995762494,-0.313444407224587,0.974580066447842,-1.18834788743881,0.928036278370289,-0.332275650570133,0.288667943061693,0.0822025711386812,-0.0247944859950805,-0.157575593164275,-0.385728704175623,0.446861434975293,1.0121133576703,-0.501937570166802,0.149085099634441,0.900059798854947,0.957395667143153,-1.40156812482957,0.742714699021785,0.36154036790781,0.74549606656513,0.871978815529385,0.0369110794936563,0.675432994393757,0.504552037201697,0.401770815408775,0.751844433552338,-0.517766307539865,0.388460505987635,-0.275764067364132,0.421102680285445,0.829631778561444,0.114020919142435,0.0861621629933578,-0.0479662168833281,2.47371567674293e-15
"HPLM-6k_FC2",-5.43925691518696,-0.0955154451777305,1.47668591544339,-0.311235006153652,1.70308685542791,-0.348427495549524,-0.142068648713547,-0.68616067555026,0.128267840361868,-0.349509106832423,0.283818738766278,-0.184490418543582,0.800291703948948,-1.16725749798427,-1.12895434685352,-0.180130902815685,-0.509944421485812,-0.0309809390599845,-0.30240049811031,-0.161290906640611,0.86311353927756,-0.218644838213216,-0.0505864006947333,-0.62352958767853,0.2714247830015,0.661063197413137,-0.693744903728628,-0.223403407207415,0.572907856427084,-0.152050566119499,0.560321001419711,-0.726218326376786,0.321998341600661,0.221142264446776,0.327680881473425,2.29330443524134e-15
"HPLM-6k_FC3",-5.88921028713805,0.0398495169417338,1.41105378822104,-0.933976603810195,2.22105449115679,-0.450414751335642,-2.30230957401095,-1.00160343722356,0.880206381047526,0.641453757570835,0.112908206886102,-1.16139823263414,1.15381889711968,0.0426195556212328,-0.768122828588327,-0.929242282060319,-0.296556835356987,-0.679015294412634,-0.564011228628107,-0.670841888602944,-0.514242120901223,-1.09337263545371,-0.0976835406876486,-0.754997940846072,-0.306051055293787,0.588264407406664,-0.119041621560132,0.407617645671501,-0.181349686855089,0.0241122893416506,-0.533816794069651,0.678752321448724,0.0507233744577212,0.231599610140493,-0.166937481162009,2.80331313717852e-15
"HPLM-60k_FC1",-5.87969352739386,1.81442647446524,2.58437420904952,0.999178767606597,1.89371413611157,0.0512707131005333,-0.519080924947007,1.35125606534038,-1.20706626348399,-0.326794325390014,0.229390395764067,1.6490344251894,-0.408039384331299,0.757964680814372,0.194756229482756,0.922635061116096,-0.764872854149425,-0.174587182134542,0.108797769926747,-0.209313186920144,-0.0873269849777301,-0.569097636626424,0.837671822024595,0.926371800093888,-0.439449155796668,0.28301064459312,0.193471204226221,-0.0103931364893764,-0.983049164761102,0.559197503628358,0.00594671460693139,-0.0828439011237342,0.472919432706811,0.053167719871805,0.20343623424878,2.45636844198316e-15
"HPLM-60k_FC2",-5.97207674895495,2.08641969960161,2.05400262054449,-0.310430410757929,2.28603620155742,-0.403607940186509,-0.0831151058941878,0.916242329322548,-0.236874763716424,-1.17387204372391,0.28506937345884,1.0975046966684,-0.266075264566487,0.576195314594793,0.839772538296057,0.42791487599286,1.25388480604074,-0.223616925977448,0.503207308018532,-0.563211899421719,-0.308045434899023,-0.65317413800166,-0.626667268855689,-0.0899985931867297,0.558798197498515,-0.994452383551906,-0.219876620884433,0.0523882534505251,0.291103622947421,-0.673750904927621,-0.432977417351173,-0.497539967176523,0.312199233613349,0.015745653490924,-0.290399642340196,2.49453235845465e-15
"HPLM-60k_FC3",-5.49950076841235,1.66207592660141,2.35669535442634,-0.164088349390801,2.56798470535751,0.106288497532548,-0.78839263897601,-1.0051112753766,-0.224184227195291,1.24962149863839,1.66142044742316,0.052617799675234,-0.540701245187773,0.0362193412831607,-0.959812728392436,0.293997898709483,0.95259025276114,0.0558989886860902,-0.271987129070687,-0.0850107363980372,-0.526644230821797,0.519022922693888,0.83898740166807,0.0851114955580597,0.35582012260353,-0.00641960609858855,0.103674530802532,0.672832380064715,0.146829507598749,0.418780891942453,0.482240516372455,-0.236118011084958,-0.620278003560359,-0.502534675330831,-0.13142325089422,2.61249355482107e-15
"HG-HPLM-400_FC1",-4.30783883848147,-0.92746004155655,-3.31572614537035,-2.47414230409807,-3.46531435644576,-0.283545218767122,0.857467048268419,-0.607343875549937,1.08392978363076,-0.397736355642184,-0.428017036734887,-0.149273381035212,0.149011436197378,-0.125571943800959,0.196196038475927,0.829454533081211,-0.800103252330805,-0.482144544921384,-0.1271299565162,-0.0454847497148635,-0.79533784700113,-0.524402662893474,-0.785915803364771,-0.576058573239915,0.630097283303235,-0.211948081053895,0.0703526752485398,0.109270183146228,-0.411824724364234,0.62174755206513,0.777500873763956,-0.079761645013038,0.3677801592322,-0.107824265959866,-0.270177913670279,2.17881268582687e-15
