"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36"
"HPLM-400_Exp1",-7.17164279595993,-5.55772734509344,-1.11724506762062,-1.23249549422718,3.35059550912228,-0.514479401891214,0.549248169269041,-0.250299483644717,0.145074716205061,-1.3448535532464,0.419132005394689,-0.50339972734448,-0.757211551774538,0.82551768132576,0.889488559595481,-0.833063263672909,-0.235531135350411,1.30854405796966,0.876299224197512,-0.521538764185994,-0.311364673156988,-0.300438004994323,-0.809830255149467,0.177392604256282,0.506851433382847,0.354871463528913,0.232378752889924,0.00246562845685087,-0.0110664926199443,-0.395118512143355,-0.112610969395316,-0.0219037422015504,-0.20928299692283,-0.0527164485022573,0.47114195311467,-1.03615033220095e-14
"HPLM-400_Exp2",-7.84521186503136,-4.99908596650441,-2.13931067485945,-0.432523925773701,2.83443799139469,0.678297785986517,-0.274135837428953,0.380803575206204,0.34360669175716,-3.06647985147886,-1.08304400220366,1.08799916101397,0.263804857341878,0.196369950833364,1.23609466853668,-0.459780837945123,-0.016067110654632,0.259722707908501,-0.691617164912702,0.879144362121044,1.06210570636199,0.718475491109399,0.396085119429866,-0.621783763439699,-0.272132148658375,-0.546140784233135,-0.13764030658574,0.426408321650696,-0.226488999048725,0.295359813870885,-0.00677066385325793,0.0776977826222344,-0.0375087636420842,-0.0560449255196909,-0.0428400645883462,-4.87977713792276e-15
"HPLM-400_Exp3",-7.93315868602792,-5.42448121904631,-1.54014889296627,-0.14039470458146,3.53268738563733,-1.39939076091166,-1.18045834510359,-3.29438714664058,2.11322877078193,0.866334923547929,-1.18906290701331,0.901289042201854,0.329208035417757,1.06420079406957,-0.188788515768309,-0.211311480262981,0.784485544673612,-0.769205983743457,-0.081577325623321,-0.917709129565076,-0.789409691357084,0.42278487517674,0.318761326260922,0.285361931874307,0.313954683348032,-0.0445608547002402,-0.0243231924036713,-0.240463381046946,0.10589754836188,-0.0295509109966592,0.0837378278178042,-0.0530781711167311,0.24027052843837,0.178662544968223,-0.24248951837563,-3.99159871822263e-15
"HPLM-6k_Exp1",-7.60937450831738,0.882157550574746,1.2546342582793,1.66826121168047,1.4973474723212,2.60675973220306,1.07062458852353,0.594361571690977,-0.491508879005833,-1.09443537208906,-0.947914865827577,-0.0615034454453875,-1.33857047749703,-0.166114841144205,-0.717011542217093,2.14323700037179,-0.0865446480921783,-0.2080838624436,0.558881929651476,0.434682122559942,0.359242244794803,0.266264372857741,0.208284806158841,0.214920571625333,0.10890879743981,0.170997437212797,-0.143804334440315,-0.31234213865717,0.168970466200839,-0.65956013540162,-0.032272100904913,-0.065359309414607,0.333280726216138,-0.341831581636222,-0.185971143777078,-2.0343969564518e-15
"HPLM-6k_Exp2",-7.45569563583769,1.25025006738194,0.586639157400202,1.83503147630646,2.88249210230021,0.701189943170276,2.21553552171992,0.521569740149229,-0.523282095624113,-0.542791454860172,0.718527455451722,-0.747969242490013,-0.213180581219382,-0.735957849986612,-1.06119036542089,-0.00751993884624574,0.880141980388446,-0.574790134332405,-0.731192490831345,-0.322158970034187,-0.63352656775454,-0.859037130633803,1.0032800920991,-0.319148137978287,-0.189412944158431,-0.341438853424103,0.242735300564889,0.0709421359101327,0.670111588339658,0.113128857306047,-0.206440697883843,0.010179467568629,-0.461638456735567,0.0672570906908408,0.110242727848557,-2.32452945780892e-16
"HPLM-6k_Exp3",-7.48937974459692,1.68020284798118,-0.451761941786446,2.81758942508017,2.82166024011797,0.717546422853902,1.4259426330687,1.36767925862217,-1.68693793262281,-0.308693559402425,1.19444117305703,0.297097906787625,0.48239580727375,-0.532540867210835,-0.969982410430877,0.146103304802904,0.473312713551282,-0.48614260315801,0.275032483442825,-0.0589754434608183,-0.555293857178695,0.563472156090038,-1.29017552990749,0.441904530045168,-0.0625781212950259,0.186139597008623,0.0221277377649995,0.0766817676742739,-0.706045456563178,0.495333745129977,0.181836465460765,-0.173842333866319,0.0222133468510832,0.122061617199641,-0.124276195110506,-2.05000946773559e-15
"HPLM-60k_Exp1",-7.17202258318472,2.92909960833437,4.76531055108651,1.3652335554633,0.95314815164908,-1.21290860198172,-0.849713301629152,-1.78922192560211,-0.86675065783677,0.392789232109599,-1.03908561494339,-0.923751904988239,-0.446231138026793,0.0794713087997785,0.291325126535568,-0.345671139753156,-1.13355331701345,0.589060295381578,-0.145053639714001,0.0410292600783346,0.0861748047499363,-0.248082383759437,-0.136568166124559,0.0270985401193102,-1.41529487391172,0.915666790027166,0.19061424705599,0.413346150343195,0.146330274132086,0.0347575657305262,-0.046589215158561,0.0955665815607551,-0.0599299907816968,0.116704162208681,-0.250977143954566,-1.49587373737825e-15
"HPLM-60k_Exp2",-7.63533887716859,2.99935308218025,4.30626057411252,1.86635875053928,1.80116443824627,-1.8067504542497,-0.114448280526898,-0.897523013436426,-0.686264366391681,1.81460329806317,-0.619776357676619,-0.667271075392574,0.802224136517734,-0.652088751036156,-1.28361016712435,-0.57594803352175,-1.06473899174475,0.323691500836113,-0.541911776956506,0.215841949230205,0.913391850463108,-0.436736200046878,0.434037168917117,-0.287813391690282,0.941014761543165,-0.246657954518812,-0.412631049845727,-0.171533293771585,-0.465937551324982,0.00723712045268894,0.1988748077505,-0.0143737210048338,0.17465300283711,-0.0280047770639621,0.264657610792751,2.05998412772246e-16
"HPLM-60k_Exp3",-8.65723279187746,5.14233679088336,4.43387059109554,2.7604917741817,-1.25324711954763,2.36302399600718,-4.20693098988395,1.48824373905259,0.913674495544368,0.639670554112672,2.15583895499336,1.11475706083232,-0.482255119163443,1.97485832026887,-0.194340113466291,-0.534343799740245,0.17076075951616,0.141106720858068,0.0172153628572573,0.580700533134147,-0.153287626006464,0.157036249937257,0.235782218647154,0.287591154938822,0.112412843147969,-0.26678887198741,0.244400811506588,0.0493444918792734,0.0258801964332797,-0.0423963857276097,-0.130209181286612,0.101813493248848,-0.059391224086674,0.0129104030736193,0.0469332437320872,2.61943244872498e-16
"HG-HPLM-400_Exp1",-7.24128498180444,-7.64641528227294,-3.27361918885801,-3.52121207039961,-0.597052776242049,-1.22568777508119,-0.0906460161106737,1.09336948104653,-0.437999488559722,0.829080631718864,1.55001368936204,-0.560207849567896,0.0325494285685124,-0.501212693852019,0.126098093468589,-0.699664157047251,-0.256369364362279,-0.0562024499940743,1.00961615521808,0.746201177764888,-0.396216115622096,-0.1468386803197,1.41651726468649,0.643771439793899,-0.3029292697643,0.438878220272943,-0.237170216087667,-0.0902931903306482,-0.204133404400792,0.262217606138505,0.0776957056146191,-0.0964779908883928,0.135654039134893,-0.312185381442399,-0.0490376202649433,-5.21631349226226e-15
