Protein	Gene	PROTEIN_ORIGINAL	x400x15-1	x400x15-2	x400x15-3	x400x5-1	x400x5-2	x400x5-3	x400xH15-1	x400xH15-2	x400xH15-3	x400xH5-1	x400xH5-2	x400xH5-3	x60kx15-1	x60kx15-2	x60kx15-3	x60kx5-1	x60kx5-2	x60kx5-3	x60kxH15-1	x60kxH15-2	x60kxH15-3	x60kxH5-1	x60kxH5-2	x60kxH5-3
Q9P0S9	TMEM14C	Q9P0S9	14.40879956	14.97304828	15.18177871	16.0384107	14.31559384	14.90414706	13.02023651	12.5698264	13.58427256	13.20103913	14.08792093	12.90697279	14.60403129	14.67912033	14.57771317	14.26889606	12.73445108	14.44689873	12.94186045	11.75040816	14.36200464	12.75736891	12.64217647	13.64558594
Q9P0T7	TMEM9	Q9P0T7	14.24713099	14.26014736	14.18153278	NA	14.66836014	14.81229995	13.10134503	13.60736474	NA	13.73819758	13.81202911	13.42409645	14.56546125	14.2568259	14.49716668	14.08972036	13.00944619	14.31090377	NA	13.52083613	13.43219405	NA	13.58104691	13.47439396
Q9P0U1	TOMM7	Q9P0U1	14.24589594	14.53169707	14.70404305	10.64315845	15.17354615	15.59888965	NA	NA	13.31088563	14.58546683	14.87423571	14.58143632	14.66343517	14.51023929	14.63394114	10.38821905	12.72451417	14.27113114	13.73880742	12.70291629	NA	NA	13.98615552	14.65098445
Q9P0U4	CXXC1	Q9P0U4	11.88135452	13.49994602	12.87352987	12.32980012	13.31201862	13.27883991	12.67526495	13.1123057	13.15026663	NA	13.06503108	13.78884454	12.8556905	12.40786021	13.01003938	13.67757431	11.53533445	12.61366363	12.54017316	14.20019806	12.7659916	13.94899621	12.44360433	13.78396189
Q9P0V3	SH3BP4	Q9P0V3	8.920179536	10.44653558	9.69806982	12.63194954	8.882705878	12.61500588	13.81681546	9.390685051	NA	14.18318661	13.75130239	12.44005826	13.87430065	9.121654928	12.46555545	11.42843652	8.594818877	11.11252222	NA	13.1401272	12.19244876	10.15205288	10.18120616	14.29017213
Q9P0V9	SEPTIN10	Q9P0V9	13.45609094	14.12307246	14.41767764	14.88077214	13.93768159	13.50622337	13.33912448	12.75977767	12.91768478	12.2549728	12.65336991	13.0316218	14.18709282	14.14759516	13.56428576	13.43365396	13.21356291	13.78721914	13.28926916	13.38941279	12.90166412	12.79452406	13.61080121	13.157309
Q9P107	GMIP	Q9P107	13.07237576	12.76036317	11.54078321	12.45369091	13.33124551	13.3178081	12.39232192	13.06494356	11.60187065	11.95153988	13.58903792	13.71839463	13.1538371	12.07343741	12.83693108	13.28624489	13.0554505	12.93598373	11.52518856	14.2829741	13.2796198	13.35484614	12.54615466	13.61869241
Q9P1F3	ABRACL	Q9P1F3	13.96035481	13.73366642	13.48143695	14.27994298	14.4059096	14.6705131	14.22194247	14.26451455	13.83817753	14.07126549	14.16324906	14.30162219	14.01823416	14.2191701	14.16344405	14.64259184	14.04573839	13.93219268	13.96009551	14.63055107	14.04507007	14.03390215	14.3314365	14.67832591
Q9P1U0	ZNRD1	Q9P1U0	14.96076267	14.69055464	14.71120015	14.56847419	13.87578579	13.43785212	14.8836605	15.24989253	15.03859205	14.98124751	14.6545575	13.59194893	14.95633421	14.83643805	14.45153875	14.65856802	14.87211309	14.83094534	14.65502721	15.71413201	14.92064538	15.09017445	15.03881438	14.84896548
Q9P1Y5	CAMSAP3	Q9P1Y5	13.1498731	NA	13.22136617	NA	13.16684098	14.67035738	14.1161726	14.55661977	13.14627705	13.8056068	13.54316721	13.28894812	13.45282323	12.06392187	14.4162011	NA	15.05873985	13.3138076	NA	14.76090795	14.67438773	13.08306405	14.80230114	15.02797655
Q9P1Y6	PHRF1	Q9P1Y6	13.29547101	14.46617527	13.63087542	14.19269627	10.76746094	12.60820024	15.01163011	13.9256391	11.30550509	12.5932212	13.87572267	NA	11.22964021	13.63450227	14.15449092	14.39000529	15.00616062	11.20076885	14.88090364	10.90234727	10.01382913	14.19772671	14.40503805	11.47740921
Q9P206	KIAA1522	Q9P206	15.08322482	14.8476021	14.9220942	14.00223855	14.94008338	14.9213337	15.07416231	14.87260235	14.12757584	14.56719696	14.77810253	14.83139265	14.97057294	14.78350786	14.51919171	15.09546489	14.86271311	14.67962335	14.47348637	15.18177464	14.83633473	14.92366011	14.99243943	15.29096558
Q9P217	ZSWIM5	Q9P217	19.2071447	19.31936525	19.42461696	19.14294523	19.60928461	19.69030351	19.42866307	18.80257333	18.89702957	19.34472718	18.93114257	NA	19.6541278	18.80969069	18.6888073	18.51150245	18.44544415	19.57257775	18.93074802	19.32322186	18.65109465	18.58196035	19.23362435	19.09585422
Q9P219	CCDC88C	Q9P219	10.41504665	11.70201055	10.18527673	12.84009279	11.85532364	11.78757474	12.36320952	12.17963514	10.17078992	12.20670357	13.26508394	14.17474836	12.10194019	12.56475797	12.43653977	13.29888251	11.81763109	11.99079331	11.25316275	12.1417475	11.71212988	11.78558641	10.12598038	13.13251856
Q9P227	ARHGAP23	Q9P227	NA	12.79541307	12.39854636	14.02578496	15.10528502	15.11672682	14.04991821	13.02933644	13.39468353	14.75942274	13.34296546	16.18017113	12.99801679	12.97957172	13.55430841	14.62068474	12.69872962	NA	NA	16.35877243	14.53068206	13.6904751	12.74545258	14.71203474
