	HPLM-400_Exp1	HPLM-400_Exp2	HPLM-400_Exp3	HPLM-6k_Exp1	HPLM-6k_Exp2	HPLM-6k_Exp3	HPLM-60k_Exp1	HPLM-60k_Exp2	HPLM-60k_Exp3	HG-HPLM-400_Exp1	HG-HPLM-400_Exp2	HG-HPLM-400_Exp3	HG-HPLM-6k_Exp1	HG-HPLM-6k_Exp2	HG-HPLM-6k_Exp3	HG-HPLM-60k_Exp1	HG-HPLM-60k_Exp2	HG-HPLM-60k_Exp3	400_Exp1	400_Exp2	400_Exp3	6k_Exp1	6k_Exp2	6k_Exp3	60k_Exp1	60k_Exp2	60k_Exp3	HG-400_Exp1	HG-400_Exp2	HG-400_Exp3	HG-6k_Exp1	HG-6k_Exp2	HG-6k_Exp3	HG-60k_Exp1	HG-60k_Exp2	HG-60k_Exp3
Succinate	468583696	496152319	483544593	329086188	323338642	310391325	272621377	265466014	258539280	501647064	513638371	500164620	288019665	298241670	294667636	299774645	275485693	242787176	35494441	37670457	35484258	35198148	36606373	36108467	32973094	29834581	36120393	57587592	57940207	59238943	47125667	40865786	38520272	35244918	33229369	31831018
L-Threonine	760136740	606417236	618199359	1155468292	1054279292	1083241924	1068808060	1047593783	1017510878	619129370	570619985	685752607	1029628590	987419159	929543323	966827858	999478547	974157982	3025077474	3446079760	3762800512	3282710511	3257333661	3173626841	2420459881	2384360236	2538897566	2526480112	2923971512	3131951192	2755500134	2656997699	2856529648	2227686345	2170907647	2233118261
Thymine	10797726	10670890	14726919	10571569	9978423	9273413	10060936	8308250	4615445	6996201	7789499	10049997	7785567	5972781	12026395	5248395	6108227	7922852	5845842	4654252	4922959	5386446	2699491	4494873	1520294	2784515	2810429	6657018	5644690	4605359	5619535	5063631	2639455	6664059	7339608	2520638
L-Tryptophan	7792243131	8222757624	7884080567	6385839006	6033529967	5915872314	5009554740	4952390805	4867851635	8365045132	8649152591	7797682747	5632926630	5724590769	5389759750	5104555855	4800638677	4819721667	13205501057	12946321210	11560205348	7923315604	7767586874	7488967990	4894100400	4952875021	5059153743	10399174620	11059568947	10360820140	6640209788	6509323043	6695567108	4187959508	4273093694	4373592830
L-Tyrosine	7046702455	6864704762	6636702579	5396921299	5001565081	5250675109	4235060520	4008420864	4048971103	7210778666	6723506996	7132575126	4626058063	4540212269	4404968643	4171239965	3917853836	3855615625	29346478116	26151134959	25656915256	18989398050	17072025942	17348125573	8550706371	9410742030	8769026223	22502294294	23108917774	24187241034	15286286219	14919389641	16987322339	7448364181	8469004299	8690967453
Tyramine	48070	67379		42981		22198		17301	111255			43053	81126	27194			28030	19473		313010			494728			352181	243556		135247	76764	0	0	0	54521	150625	
Uridine	987506423	1086699018	1057060379	679055142	670973058	621291533	532426780	548863585	506951197	1131611267	1117083963	1082955677	600203795	629821520	573182411	527171153	484688040	496748070	42124514	42844085	39913454	26566553	25536822	26476176	17828953	19383712	19363115	75647213	70276215	69961470	39604182	40691117	39190788	27658739	27195069	23708593
Uridine 5'-diphosphate	4505605	5028495	5203573	7734663	9530877	12049979	7250443	9052737	9923426	2867638	2265606	2630328	4981353	3655000	5440617	7768476	6960429	9630866	878238	414783	949158	1259094	802796	997994	1929511	1799427	1689015	838355	413956	788319	3640998	4840695	3269255	5836143	6271746	7730584
Uridine diphosphate glucose	43779786	44323037	47454059	64424659	65108741	60650251	71613992	74149986	66394368	45418946	48025639	51908624	65319272	67907267	67677602	73702241	61473544	66859911	22658184	21062752	24442072	30297270	28693268	30107482	42040229	41382113	38429418	22124504	24625422	19209585	28746316	33062188	26970332	43124509	45498680	41315211
Uridine diphosphate-N-acetylglucosamine	42948477	44517339	44744252	52481064	54309421	50307634	56738533	60178726	51101543	46199410	40458784	46841548	51547570	49110489	56788173	51817958	47716119	52207892	43349108	46119254	46247832	57427550	53300383	59138568	64112328	67368550	67329910	42763382	36419929	36410522	42001037	48085099	42342164	57797858	61540048	57047746
Uridine 5'-monophosphate	5002159	4986872	6279816	4795580	6317199	6933095	6235506	9051672	12051239	5396559	3108766	4242942	7352255	5555148	8079503	4731065	3635901	5230593	3898972	1419286	1838079	3098126	1785297	1950742	2764576	3287167	2273504	1371336	1038376	1697275	1398948	1983956	1598025	1455492	2396317	2557255
Uracil	23046941	23772024	22109250	19552109	19134864	19363844	16291743	17901932	14789281	27337722	26182075	25745572	20468512	19799891	18385673	15029192	15545404	16212386	12211692	11921618	11057795	8150285	9094827	11074552	6652447	6843917	11455397	11372726	10871091	12700394	14881141	11612751	8513897	5097846	6526007	5501699
Uric acid	9490068084	10547530510	10191837457	7359475924	7580430767	7033806343	5739882996	5986057228	5850256359	10581446128	10568419259	10068332648	6804103721	6973312677	7321607435	6220155005	5949441828	5797970328	192288078	219784635	182885318	139843680	143882081	129074401	112745275	126252239	118213252	943335609	941382625	823914672	562755940	573517690	573665187	329251444	381472426	357549562
Uridine triphosphate	3391097	6695956	3472628	7337938	8996714	11314723	3734928	4161111	6281229	3068648	3397341	4067143	7048521	3027241	5912638	6847190	6511578	8393239	1469437	1598468	1761611	1657196	2341371	1768915	1080677	1398940	1544015	991744	671303	275412	8427368	9318056	9162388	12160339	12110586	15048370
L-Valine	7078173009	7242867439	6736055330	5868753603	5398652447	5371566736	4554122214	4258723110	4458560551	7517044464	7550304217	7637901414	4938177228	5704300193	5072798092	4599430717	4396300104	4280970707	12686900057	13794385776	12787116976	9725176161	9997257851	9892411069	7877477440	7364941626	8189521450	11563024954	12786674260	11822815416	9288259620	8404051157	8954369765	7018642773	6870788329	6576821340
Xanthine	9197209	10486545	14278142	6949637	11394270	6527055	4835802	5872073	15799537	10435713	15395510	11546660	6750176	6402052	14570908	4728872	9775729	5798264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
