	HPLM-400_Exp1	HPLM-400_Exp2	HPLM-400_Exp3	HPLM-6k_Exp1	HPLM-6k_Exp2	HPLM-6k_Exp3	HPLM-60k_Exp1	HPLM-60k_Exp2	HPLM-60k_Exp3	HG-HPLM-400_Exp1	HG-HPLM-400_Exp2	HG-HPLM-400_Exp3	HG-HPLM-6k_Exp1	HG-HPLM-6k_Exp2	HG-HPLM-6k_Exp3	HG-HPLM-60k_Exp1	HG-HPLM-60k_Exp2	HG-HPLM-60k_Exp3	400_Exp1	400_Exp2	400_Exp3	6k_Exp1	6k_Exp2	6k_Exp3	60k_Exp1	60k_Exp2	60k_Exp3	HG-400_Exp1	HG-400_Exp2	HG-400_Exp3	HG-6k_Exp1	HG-6k_Exp2	HG-6k_Exp3	HG-60k_Exp1	HG-60k_Exp2	HG-60k_Exp3
D-Gluconate	65048086	66967098	66302947	65678042	61149259	54406350	51622763	49756674	54349822	767659628	875567896	864240974	453168671	611526573	511582245	493546134	556054762	405628577	64810568	65629973	61729264	43590766	34791165	42723338	26170030	22862740	26565573	435514278	445456061	318927319	235334033	212108548	255751679	134242267	131944403	120600425
N-Acetyl-D-glucosamine	14430117	11150585	13785941	13097127	13947062	13672502	12584323	13940739	10187929	26172418	23628930	21458608	14774802	12987955	14733088	11327874	10210706	12283187	15498558	11757359	11162276	9078332	7586495	7227041	7865757	8190624	7240293	14257252	12692335	15182354	6934385	9226977	8845110	4612451	6606618	7457306
N-acetyl-D-glucosamine 6-phosphate	915853	1441855	321962	805294	1291394	483043	1487089	691611		247681		158482	994573	585960	1677146	860757	992388	822827	305408	821184	408448	320837	411200	785266	2134973	2502927	1928111	942789	297666	1569443	789416	577708	1853318	1531057	2134650	1193514
Glutamine	14432423722	9270547747	11430435452	19917677040	20545795272	20953539232	20011254812	20721980345	15424248092	10781452141	8409561720	11739308563	19406158590	17259914251	16856247101	16477381260	15802872948	19330988318	43227073101	48163055512	58420963240	57073001409	54980059491	54988414208	42388393689	45423822200	41786413035	38822476518	43377205733	47946294744	45630428927	47721267357	46986683397	37130262873	39701725104	37935433939
L-Glutamic acid	1212233065	1117900508	1327488346	1120214145	1363849125	1311717206	1264978117	1359978815	1236460133	1189982633	1080243050	1130473981	1216452568	1025367315	1275611012	982288683	980598420	1196039795	524056491	462588221	467612561	621158966	520407104	504351052	694362744	760545419	693221893	577105153	454728075	562172411	485178555	630963538	624700090	730969231	815191840	757730024
Glycine	421796597	441784973	373222651	454878482	391518695	438316210	397402127	361842864	417269151	373407282	391150118	392725835	370078933	389361719	351510006	389297810	399464986	347982813	253244584	300868149	260554361	262183105	278044760	265852295	178299516	178861909	190130591	215090563	252934072	231680351	263243742	227037486	244603624	164281414	163939553	178883499
Glycerol	79226141	62909669	85781517	54760631	60991022	70860609	39893422	42771386	29656103	91774019	66775612	74274079	69385922	59757722	93484956	43921519	36649602	49472481	2428295	1142821	1328342	1633738	841022	991132	3135246	807976	536388	12791011	8005934	11377088	4701725	7261786	8725056	2338088	3828779	4081142
Glycerol 3-phosphate	847514	618259	963869	498139	258121	660024	597370	1070791	688351	1003266	126338	488316	268585	292295	644477	831306	278063	560699		188333		169594	303508	186327	281883	689573	216049	161612	201908	493504	418189	248011	560907	605601	393275	708220
Guanosine monophosphate	271138	179470	740753	475877	265279	322585	489868	386956	1031158	360876	138597	258493	546562	416624	593862	629908	259803	769958	108539	193745	139992	65541	65529	282216	327919	572161	614398	258856	321121	175985	64054	255669	478965	361958	985599	676724
Glutathione	3298382	8777980	3228045	33252751	18017782	13963658	55986277	21746317	100874645	4353262	9108152	4473058	21903403	44816358	26468166	53972212	78469580	25320266	541495	3681001	2051787	2869104	9873480	7228532	12533017	10900651	34119838	1044072	1635515	1125488	16567587	6697520	5090224	58651492	20207313	15007864
Glutathione disulfide	0.01744881	0.04177383	0.016519095	0.118074908	0.067743511	0.056574906	0.150251574	0.062223688	0.273649056	0.028915268	0.054694413	0.025780879	0.096453018	0.191811534	0.117813849	0.171145891	0.262468977	0.086629535	0.011482299	0.076627068	0.041736844	0.034816271	0.108029437	0.078821714	0.073181491	0.065110664	0.195905819	0.017013785	0.025523599	0.018663169	0.141824683	0.055186003	0.045588825	0.225116209	0.082791196	0.065944604
Oxidized glutathione	189031918	210131080	195412943	281624196	265970596	246817165	372616908	349486147	368627783	150552365	166528016	173502928	227088829	233647878	224660906	315357919	298967066	292282141	47159109	48037868	49160090	82406987	91396200	91707369	171259384	167417291	174164495	61366241	64078541	60305301	116817374	121362658	111655083	260538733	244075627	227582895
Guanosine triphosphate	425901	1070905	477637	1069932	1648478	2746605	269074	179650	723964	173705	109854	728655	327346	68800	709418	1098870	717831	1121469	182657	182614	487887	343003	354226	423436		287858	424915		79561		4165466	4232460	3708514	6290042	5158912	9726864
L-Histidine	407156859	394024862	365064637	553496063	586091921	702436966	930700136	1124406217	465720496	386459125	378121909	426179995	739402741	523960272	616533376	441957855	463828844	810794541	724929973	844453004	1145598309	2090193566	2257782094	2730716468	5564644150	4992558427	4882114625	658993838	768192522	793419763	1156198005	1114175109	1026832880	4625025252	4262225179	4452882274
Homocysteine	1343335442	1252917498	1377183619	890519400	881543150	760481877	528410561	530934201	531256420	1308186819	1149361803	1174967924	725643258	732489400	733020282	592573699	512799184	516503420	3720237	3524985	4163643	3575675	3577673	3363187	3010968	3200487	2699791	16759368	16736688	18112227	12240602	13001356	15467806	6048671	7091675	6731176
Thiosulfuric acid	6518542	6948006	6003513	2122741	2754425	5243786	3452787	4016502	2327939	6935570	3312622	3438553	4507579	851619	3692789	4017309	3627751	7733121	11266738	6566677	9036853	3499870	1644862	1972152	3487188	5358349	3536077	13317663	10529924	12950714	2119584	3914319	4247394	4767091	5339913	7342220
Hypoxanthine	5634665658	7400879134	5874855358	4474263530	3798404072	3163809138	2336804077	2031750855	3371830656	6555598933	8007050296	6913063735	3351943638	4419905213	3732537882	3665691142	3733880180	2080960221	27129099	28023242	24526024	18482104	22895794	18098037	2434937	2577463	3859119	127604612	139121087	137565798	87389436	69214237	91835536	6329540	7479814	6103948
IMP			59676	0	0	0	0	0	0	0	0	0	0	0	0			91725	0	0	0	0	0	0	0	0	0	0	0	0	62123	59250			74398	
